Year;Month;Day;Hour;Minute;Sec;TagId;x;y
2023;3;15;11;32;28;51;3.55758;0.100143
2023;3;15;11;34;39;51;3.0754;-0.37389
2023;3;15;11;34;44;50;5.17547;-0.150461
2023;3;15;11;50;20;51;2.86839;0.261379
2023;3;15;11;50;26;50;5.18345;-0.378203
2023;3;15;11;50;29;52;5.23649;0.48698
2023;3;15;13;19;40;51;3.14166;-0.0735856
2023;3;15;13;23;15;51;2.66534;-0.787714
2023;3;15;13;23;21;50;5.74324;-0.643603
2023;3;15;13;23;22;52;5.44663;1.02169
2023;3;15;13;32;58;51;3.10838;0.0379015
2023;3;15;13;33;5;52;5.52018;0.917466
2023;3;15;13;59;13;51;2.93287;0.12372
2023;3;15;13;59;18;50;5.12579;-0.688453
2023;3;15;13;59;19;52;5.23839;0.944885
2023;3;15;14;19;33;51;2.85257;-0.213211
2023;3;15;14;19;40;52;5.869;-0.104823
2023;3;15;14;23;17;51;2.90695;0.00467285
2023;3;15;14;23;23;50;5.52182;-0.411153
2023;3;15;14;23;23;52;4.95184;0.716895
2023;3;15;16;14;12;52;4.15374;1.08796
2023;3;15;16;14;14;50;5.68919;-0.938667
2023;3;15;16;14;18;51;6.80441;1.22933
2023;3;15;16;18;35;50;5.53132;-0.867022
2023;3;15;16;18;37;51;6.27394;0.960471
2023;3;15;16;23;15;52;4.34899;0.634565
2023;3;15;16;23;18;50;5.81181;-1.13086
2023;3;15;16;26;25;52;4.10927;1.25699
2023;3;15;16;26;27;50;5.68904;-0.776597
2023;3;15;16;26;30;51;5.56756;1.15887
2023;3;15;16;29;33;52;4.39881;0.914748
2023;3;15;16;29;34;50;5.42258;-0.647055
2023;3;15;16;29;36;51;5.14806;0.603614
2023;3;15;16;38;12;52;4.79475;0.955599
2023;3;15;16;38;13;50;5.55106;-0.129613
2023;3;15;16;38;16;51;5.73565;0.210908
2023;3;21;12;4;51;103;5.60719;0.177083
2023;3;21;12;17;46;102;5.4317;-1.10589
2023;3;21;12;26;4;102;6.11131;-1.44747
2023;3;21;12;29;50;102;5.96129;-1.2418
2023;3;21;12;29;56;100;7.25898;-0.109115
2023;3;21;12;29;58;101;6.91894;-0.545719
2023;3;21;13;2;15;102;5.94208;-1.68346
2023;3;21;13;2;22;101;6.99393;-0.57281
2023;3;21;13;2;25;100;6.48332;-1.9489
2023;3;21;14;12;53;102;5.5046;-1.77623
2023;3;21;14;13;6;100;6.98931;-1.06448
2023;3;21;14;13;22;101;-2.93039;-9.24816
2023;3;21;14;16;22;102;5.61498;-1.14594
2023;3;21;14;16;29;100;7.71556;-0.421961
2023;3;21;14;20;30;102;5.44011;-1.36151
2023;3;21;14;25;48;102;5.899;-1.44971
2023;3;21;14;25;56;100;6.188;-0.950047
2023;3;21;14;32;31;102;5.16852;-1.76054
2023;3;21;14;32;32;100;7.34343;-1.70518
2023;3;21;14;32;42;101;6.9542;-0.184128
2023;3;21;14;37;29;102;5.76356;-0.799577
2023;3;21;14;37;39;100;6.45;-0.347084
2023;3;21;14;37;44;101;7.03458;-0.241731
